country_m49,country,delta_struct,delta_within,delta_total,delta_obs,reconstruction_error,weight_interval,weight_interval_norm
704,Viet Nam,-0.01780978581373224,-0.008334038477590969,-0.026143824291323208,-0.026143824291323406,1.97758476261356e-16,1177116.9300000002,0.0012584060631702766
705,Slovenia,0.0007192616267615861,-0.0007257153038662894,-6.4536771047032666e-06,-6.453677104799327e-06,9.606031248221569e-17,620480.0,0.0006633289983144606
706,Somalia,0.002888991889853411,0.0008280558240398468,0.003717047713893258,0.0037170477138931957,6.245004513516506e-17,2187074.915,0.0023381095484232115
716,Zimbabwe,0.0,0.0009815963417886958,0.0009815963417886958,0.0009815963417886958,0.0,426842.125,0.00045631891312317206
724,Spain,-0.0004969100522747148,-0.0014830431615188472,-0.001979953213793562,-0.0019799532137935033,5.854691731421724e-17,8625425.0,0.009221078077112086
728,South Sudan,-0.0026938653847584934,-0.01728234366302713,-0.01997620904778562,-0.019976209047785715,9.367506770274758e-17,3324797.665,0.0035544009552648075
729,Sudan,0.00010906849824221632,0.0004986342261494292,0.0006077027243916455,0.0006077027243918121,1.6653345369377348e-16,4583376.619999999,0.004899894633578065
740,Suriname,0.0,0.0020495846220759013,0.0020495846220759013,0.0020495846220759013,0.0,2903.4449999999997,3.1039505923013296e-06
748,Eswatini,0.0,-0.0189284241679612,-0.0189284241679612,-0.0189284241679612,0.0,39083.11,4.178210451152959e-05
752,Sweden,0.0,-0.0010001389451991995,-0.0010001389451991995,-0.0010001389451991995,0.0,2795635.0,0.002988695468351675
756,Switzerland,5.147863968515423e-05,-0.00036702141551003863,-0.0003155427758248844,-0.00031554277582489937,1.496198998029996e-17,3788359.875,0.004049975762536174
762,Tajikistan,-0.00012640779908169525,-0.012046377159047734,-0.012172784958129429,-0.012172784958129498,6.938893903907228e-17,1124943.92,0.0012026300986551423
764,Thailand,0.0,0.0008316081795069971,0.0008316081795069971,0.0008316081795069971,0.0,1297666.665,0.0013872807004907761
768,Togo,0.0,-0.01978047500074287,-0.01978047500074287,-0.01978047500074287,0.0,12299.965,1.3149373811811702e-05
776,Tonga,0.0,-0.00023110804283860142,-0.00023110804283860142,-0.00023110804283860142,0.0,323.99,3.463640442301156e-07
780,Trinidad and Tobago,0.0,0.12323525710930291,0.12323525710930291,0.12323525710930291,0.0,1812.5,1.9376673050621455e-06
788,Tunisia,0.0016674155869382944,-0.0030773229932709954,-0.001409907406332701,-0.0014099074063324002,3.0075768264747893e-16,1417628.475,0.001515526811990405
792,Türkiye,-0.0007768352170469223,0.0016214232168998493,0.000844587999852927,0.0008445879998529027,2.42861286636753e-17,22492678.76,0.024045974199458076
795,Turkmenistan,-0.0023204690661711427,-0.0015878910941497988,-0.003908360160320942,-0.003908360160320902,3.9898639947466563e-17,2536545.89,0.002711714228327041
800,Uganda,0.0,-0.017773113277948192,-0.017773113277948192,-0.017773113277948192,0.0,3315500.0,0.0035444612137564375
804,Ukraine,-1.2417535651400632e-05,-0.001327754571316044,-0.0013401721069674446,-0.0013401721069674008,4.380176776841438e-17,8347000.0,0.008923425652608953
807,North Macedonia,0.006060719840715186,0.0038072138851555385,0.009867933725870724,0.009867933725870706,1.734723475976807e-17,376436.0,0.0004024318508404821
818,Egypt,-0.0010696657088098225,0.0019789010331257052,0.0009092353243158827,0.0009092353243159018,1.9081958235744878e-17,5605833.33,0.005992959978575808
826,United Kingdom of Great Britain and Northern Ireland,0.0,-2.8127378687500815e-05,-2.8127378687500815e-05,-2.8127378687500815e-05,0.0,15722685.0,0.01680845940540194
834,United Republic of Tanzania,-0.004009401865924833,-0.012613160683841503,-0.016622562549766337,-0.016622562549766295,4.163336342344337e-17,3876900.335,0.004144630633993919
840,United States of America,-4.954574204372395e-06,-0.00012423735982077094,-0.00012919193402514332,-0.00012919193402510104,4.228388472693467e-17,101998257.575,0.10904203524214334
854,Burkina Faso,-0.0003266404792616718,-0.02205203456894857,-0.022378675048210242,-0.022378675048210006,2.3592239273284576e-16,431013.315,0.0004607781564259043
858,Uruguay,0.0,-0.0008411279812296016,-0.0008411279812296016,-0.0008411279812296016,0.0,2224285.0,0.0023778892809049124
860,Uzbekistan,0.0,1.214612089302236e-06,1.214612089302236e-06,1.214612089302236e-06,0.0,11437015.0,0.012226830363037424
862,Venezuela (Bolivarian Republic of),0.001066057178042962,-0.024269457676445443,-0.02320340049840248,-0.0232034004984025,1.734723475976807e-17,3410705.89,0.003646241815302558
882,Samoa,0.0,0.016512897322550513,0.016512897322550513,0.016512897322550513,0.0,1609.8899999999999,1.7210654994463432e-06
887,Yemen,-0.0011418518618731607,-0.024855629143841672,-0.025997481005714834,-0.025997481005714806,2.7755575615628914e-17,411161.525,0.00043955544501627145
894,Zambia,0.0,-0.002573645284007199,-0.002573645284007199,-0.002573645284007199,0.0,489640.295,0.0005234537880620601
